"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","id","celltype"
"ENSG000000582629",2085.10628046711,-5.42058077807107,0.210781133261873,-25.7166317221408,7.61724176448629e-146,1.05200604089991e-143,"ENSG00000058262","oligodendrocyte precursor cell"
"ENSG000001368302",1354.70913064354,-8.63425771347191,0.336362418588932,-25.6695077580109,2.56104949134394e-145,3.50981982598335e-143,"ENSG00000136830","oligodendrocyte precursor cell"
"ENSG000002140223",508.74417500519,-12.6012823523824,0.49104110820125,-25.6623776338047,3.07620119992269e-145,4.18363363189486e-143,"ENSG00000214022","oligodendrocyte precursor cell"
"ENSG000001166885",598.292330827959,-4.41902332969326,0.172301621598508,-25.6470211289732,4.56427075049887e-145,6.16038240082483e-143,"ENSG00000116688","oligodendrocyte precursor cell"
"ENSG000001742318",1686.86890741839,-4.53568558936582,0.176884940466534,-25.6420110010662,5.191049214942e-145,6.95366412130877e-143,"ENSG00000174231","oligodendrocyte precursor cell"
"ENSG000001262473",1321.27855930628,-6.14883797725979,0.239857364588474,-25.6353937174679,6.15245826786268e-145,8.18001466419712e-143,"ENSG00000126247","oligodendrocyte precursor cell"
"ENSG000001241556",831.739713780281,-5.09900734136138,0.198943472796668,-25.6304329550579,6.98806336240246e-145,9.22217310107868e-143,"ENSG00000124155","oligodendrocyte precursor cell"
"ENSG000001792189",4519.4076282504,-6.04219034803328,0.236307200341347,-25.5692181165251,3.35714708941102e-144,4.39786268712844e-142,"ENSG00000179218","oligodendrocyte precursor cell"
"ENSG000001042059",1711.09062621227,6.8503414423297,0.267935865030907,25.5670939817613,3.54481001793646e-144,4.6098054948581e-142,"ENSG00000104205","oligodendrocyte precursor cell"
"ENSG000002150123",118.490169661929,-11.052275757782,0.432337322744511,-25.5640102677726,3.83604416899258e-144,4.95238861701245e-142,"ENSG00000215012","oligodendrocyte precursor cell"
"ENSG000001856247",2959.87857948223,-6.11892670229334,0.239535980345716,-25.544916857426,6.25329437394698e-144,8.01501385368629e-142,"ENSG00000185624","oligodendrocyte precursor cell"
"ENSG00000183775",1333.33201808592,9.46473342829649,0.370626183764382,25.5371418504891,7.62928087616954e-144,9.70880486355975e-142,"ENSG00000183775","oligodendrocyte precursor cell"
"ENSG000001056551",1310.32368927314,-8.39121518845767,0.329181712154995,-25.4911341627225,2.47206224458113e-143,3.1235646063445e-141,"ENSG00000105655","oligodendrocyte precursor cell"
"ENSG000001886366",465.464381724401,-6.78281235149602,0.266468822160593,-25.4544313908823,6.30542837164082e-143,7.91109238515161e-141,"ENSG00000188636","oligodendrocyte precursor cell"
"ENSG000001964196",1559.59826258486,-4.62431283661001,0.181801865256583,-25.4360032559818,1.00849157150372e-142,1.25645355509863e-140,"ENSG00000196419","oligodendrocyte precursor cell"
"ENSG000002439433",216.660094059396,-9.91730328795059,0.390300561106569,-25.4094005395056,1.98538302277569e-142,2.45635999540081e-140,"ENSG00000243943","oligodendrocyte precursor cell"
"ENSG000001612028",771.410907886314,-4.34362481888565,0.171089126708811,-25.3880822378524,3.41475807008587e-142,4.19567791563102e-140,"ENSG00000161202","oligodendrocyte precursor cell"
"ENSG000001577645",2727.64956744028,2.26432286677834,0.0892998234845745,25.356409211374,7.6367104651281e-142,9.31887901689878e-140,"ENSG00000157764","oligodendrocyte precursor cell"
"ENSG000002158833",39.1100107071037,-8.76246723462101,0.345679889900162,-25.3485015780112,9.33486028492359e-142,1.13135966555237e-139,"ENSG00000215883","oligodendrocyte precursor cell"
"ENSG000001674603",3073.6425619598,-6.55314828914952,0.258543128544065,-25.3464415242915,9.83604780595114e-142,1.18404748453261e-139,"ENSG00000167460","oligodendrocyte precursor cell"
"ENSG000000440902",379.331846578662,-5.71070033839007,0.225662791131057,-25.3063445230254,2.71980345015287e-141,3.25208176294789e-139,"ENSG00000044090","oligodendrocyte precursor cell"
"ENSG000002509037",2400.13212955318,4.6077495653763,0.18240958209503,25.2604578797609,8.69318413971211e-141,1.03251845755407e-138,"ENSG00000250903","oligodendrocyte precursor cell"
"ENSG000001361936",1943.22184212809,-4.61474908202215,0.182750020846695,-25.2517020826682,1.08484476961078e-140,1.27997314009176e-138,"ENSG00000136193","oligodendrocyte precursor cell"
"ENSG00000160691",1002.24014856735,-10.0564732077885,0.39837694184798,-25.2436126477069,1.33108659228742e-140,1.56017360053899e-138,"ENSG00000160691","oligodendrocyte precursor cell"
"ENSG000001969233",1166.70695423501,-7.23680798457169,0.287027046612395,-25.2129827832718,2.8862129832673e-140,3.36083467384903e-138,"ENSG00000196923","oligodendrocyte precursor cell"
"ENSG000001091116",967.148420425224,-3.94234236028402,0.156409963838772,-25.2051868277893,3.51409648057373e-140,4.06539888947412e-138,"ENSG00000109111","oligodendrocyte precursor cell"
"ENSG000001979591",5528.69248312384,6.40788233759091,0.255156982303514,25.1134900551874,3.54259924690816e-139,4.07193214083328e-137,"ENSG00000197959","oligodendrocyte precursor cell"
"ENSG000001053731",987.657608858845,-6.02460527619167,0.239933166841943,-25.1095142680312,3.91516127667261e-139,4.47131495546149e-137,"ENSG00000105373","oligodendrocyte precursor cell"
"ENSG000002599565",516.052558880012,-5.88255609109228,0.234652665112909,-25.0692063874993,1.07806943080943e-138,1.22336847001916e-136,"ENSG00000259956","oligodendrocyte precursor cell"
"ENSG00000188906",880.71779729942,9.6510883851748,0.385384333865141,25.0427626063078,2.0934196002527e-138,2.36052934165204e-136,"ENSG00000188906","oligodendrocyte precursor cell"
"ENSG000002510223",78.481788994392,-10.4235773532478,0.416872889973204,-25.0042101656401,5.50166703742246e-138,6.16463521627161e-136,"ENSG00000251022","oligodendrocyte precursor cell"
"ENSG000000767161",1592.75924779769,-10.4720997941216,0.419362551840004,-24.971470981789,1.24838859900555e-137,1.39008070499268e-135,"ENSG00000076716","oligodendrocyte precursor cell"
"ENSG000000110284",2723.97890145095,-7.77412694548422,0.311806187103275,-24.9325615303115,3.30117104146941e-137,3.65302256365336e-135,"ENSG00000011028","oligodendrocyte precursor cell"
"ENSG000001131404",10712.1008122595,-7.55983302042118,0.303377959351538,-24.91886040957,4.64752753362453e-137,5.11113274932436e-135,"ENSG00000113140","oligodendrocyte precursor cell"
"ENSG000001581951",1778.42761672523,-3.23715947431407,0.130176203424242,-24.8675210150677,1.67164370165852e-136,1.8271168213956e-134,"ENSG00000158195","oligodendrocyte precursor cell"
"ENSG000001259701",1400.13762505875,-3.85991021317956,0.155245678058966,-24.8632378140245,1.85982522222942e-136,2.02040525361215e-134,"ENSG00000125970","oligodendrocyte precursor cell"
"ENSG000001857372",14449.2651720103,11.1208120839495,0.447816402780871,24.8334183716607,3.90650067993198e-136,4.21807370385867e-134,"ENSG00000185737","oligodendrocyte precursor cell"
"ENSG000001639303",478.733328010714,-5.40244069997499,0.217782037650292,-24.8066404294098,7.6015086210589e-136,8.15834202366177e-134,"ENSG00000163930","oligodendrocyte precursor cell"
"ENSG000000928202",2414.23906921084,-8.74965341764584,0.353001732601372,-24.786431933824,1.25567675257248e-135,1.33958904334319e-133,"ENSG00000092820","oligodendrocyte precursor cell"
"ENSG000001506722",16143.5091461072,8.95620271257265,0.361495431669274,24.7754243289208,1.6501993518789e-135,1.74999712220681e-133,"ENSG00000150672","oligodendrocyte precursor cell"
"ENSG000001158966",5279.29587716544,9.09923050247177,0.367449541484695,24.763210931509,2.23424890474651e-135,2.35534783946531e-133,"ENSG00000115896","oligodendrocyte precursor cell"
"ENSG000001529042",119.889691278485,-9.38024016785802,0.379365987303308,-24.7260969137921,5.60564236700522e-135,5.87471320062147e-133,"ENSG00000152904","oligodendrocyte precursor cell"
"ENSG000001633462",939.840707835087,-7.01499742401273,0.283816315625775,-24.7166813103949,7.07749536922943e-135,7.37383961977729e-133,"ENSG00000163346","oligodendrocyte precursor cell"
"ENSG000001971114",2701.12103576332,-3.71090473901936,0.150219760324637,-24.7031730778946,9.88731301279085e-135,1.02414167811559e-132,"ENSG00000197111","oligodendrocyte precursor cell"
"ENSG000001179843",1083.73119913547,-9.07958118056512,0.367551236976119,-24.7028992617839,9.95452835809086e-135,1.02514379900432e-132,"ENSG00000117984","oligodendrocyte precursor cell"
"ENSG000001054433",726.623737934291,-5.4273006876354,0.219802054388854,-24.6917650643698,1.31111352809179e-134,1.34245969060249e-132,"ENSG00000105443","oligodendrocyte precursor cell"
"ENSG000000908634",3145.31874433468,-2.9745642201294,0.120788732640593,-24.6261729476061,6.62574001169316e-134,6.74538194561859e-132,"ENSG00000090863","oligodendrocyte precursor cell"
"ENSG000001209485",586.302971138313,-5.19807692093102,0.211116222960244,-24.6218734308726,7.36697740477007e-134,7.45739030928316e-132,"ENSG00000120948","oligodendrocyte precursor cell"
"ENSG000001516876",1189.05443561178,7.19922174699351,0.292563526888452,24.6073795444038,1.05313445631844e-133,1.06003635445025e-131,"ENSG00000151687","oligodendrocyte precursor cell"
"ENSG00000169231",321.471396084812,-6.40690671452889,0.26044791577139,-24.5995699199704,1.27663944342821e-133,1.27778698450096e-131,"ENSG00000169231","oligodendrocyte precursor cell"
"ENSG000001244227",2040.4621683062,-3.97359220676762,0.161808856390669,-24.557322110811,3.61224672466006e-133,3.59529539924825e-131,"ENSG00000124422","oligodendrocyte precursor cell"
"ENSG000001354823",42.0155390165322,-9.77606194371212,0.398119240683794,-24.5556128533781,3.76735303054729e-133,3.72884231067947e-131,"ENSG00000135482","oligodendrocyte precursor cell"
"ENSG000002038797",1576.51386886114,-4.36040136918669,0.178061848809678,-24.4881281326429,1.97660766628947e-132,1.94559349075211e-130,"ENSG00000203879","oligodendrocyte precursor cell"
"ENSG000002048435",1240.10555175462,-5.53239908086759,0.226090678121579,-24.4698239079657,3.09626340160703e-132,3.03093564632038e-130,"ENSG00000204843","oligodendrocyte precursor cell"
"ENSG00000131446",660.30363228976,-4.42720393064637,0.181409283899503,-24.4045058526275,1.53182992042606e-131,1.49131594876015e-129,"ENSG00000131446","oligodendrocyte precursor cell"
"ENSG000001014441",530.900276232021,-7.80903112083171,0.320064664061151,-24.3982919630882,1.78308399988032e-131,1.72649046423195e-129,"ENSG00000101444","oligodendrocyte precursor cell"
"ENSG000002283937",906.645869298318,6.80233731066135,0.279068224434631,24.3751768028851,3.13613897742825e-131,3.0201865957763e-129,"ENSG00000228393","oligodendrocyte precursor cell"
"ENSG000001725344",637.05817732481,-5.48815734151247,0.225158531166096,-24.3746364532105,3.17778840725762e-131,3.04384291740332e-129,"ENSG00000172534","oligodendrocyte precursor cell"
"ENSG000000752751",1858.20031567858,-10.6602617247763,0.437898538035652,-24.344136366832,6.68854778299894e-131,6.37236188780263e-129,"ENSG00000075275","oligodendrocyte precursor cell"
"ENSG000001307022",1197.61902187781,-6.72464308855976,0.27633200691934,-24.3353752738555,8.2812869612295e-131,7.84784087772685e-129,"ENSG00000130702","oligodendrocyte precursor cell"
"ENSG000001258171",468.007713746558,-6.61938374516605,0.272226204195653,-24.3157478712395,1.33597991756864e-130,1.25935546092079e-128,"ENSG00000125817","oligodendrocyte precursor cell"
"ENSG000002698582",237.218430771243,-8.6466547456126,0.355816499232844,-24.3008819553201,1.91868472665212e-130,1.7991203731597e-128,"ENSG00000269858","oligodendrocyte precursor cell"
"ENSG000001459967",3137.49327574936,3.24302933782507,0.133659554495101,24.2633558826049,4.7797712775441e-130,4.45845052778669e-128,"ENSG00000145996","oligodendrocyte precursor cell"
"ENSG000001749034",795.007550696597,-5.43437086418161,0.224175901767258,-24.2415479154563,8.11882585518311e-130,7.53359382478866e-128,"ENSG00000174903","oligodendrocyte precursor cell"
"ENSG000000154791",1385.34549136762,-11.5015686502089,0.474551030665938,-24.2367372673677,9.12473926871971e-130,8.42312719230623e-128,"ENSG00000015479","oligodendrocyte precursor cell"
"ENSG000001987961",431.411843502183,-10.3316018712796,0.426324262468234,-24.2341400216448,9.71859946914454e-130,8.92508083207624e-128,"ENSG00000198796","oligodendrocyte precursor cell"
"ENSG000001612036",2181.35426778441,-5.21888736273992,0.215511215112814,-24.2163144967095,1.49782964722204e-129,1.36847861512348e-127,"ENSG00000161203","oligodendrocyte precursor cell"
"ENSG000002055723",101.028866046615,-8.90333658218115,0.367986450961522,-24.1947402109979,2.52722635882485e-129,2.29719718412365e-127,"ENSG00000205572","oligodendrocyte precursor cell"
"ENSG000001573491",104.491327440115,-6.5862818256016,0.272244361181546,-24.1925371641014,2.66582311621252e-129,2.41087840804276e-127,"ENSG00000157349","oligodendrocyte precursor cell"
"ENSG000000588661",2823.91892444132,10.6151177105396,0.439037181681514,24.1781747729967,3.77524109254731e-129,3.39695430832438e-127,"ENSG00000058866","oligodendrocyte precursor cell"
"ENSG000000142161",837.174314256369,-5.64119864409832,0.233420754781968,-24.1675109369242,4.88749123574643e-129,4.37565547015368e-127,"ENSG00000014216","oligodendrocyte precursor cell"
"ENSG000001074381",692.56517713651,-10.9740700122594,0.454350818688117,-24.1532964416038,6.89428920210071e-129,6.14143282123131e-127,"ENSG00000107438","oligodendrocyte precursor cell"
"ENSG000000696679",19813.4706492395,7.82485631907344,0.20734036369944,37.7391848816101,0,0,"ENSG00000069667","ependymal cell"
