"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","id","celltype"
"ENSG000001184733",1306.55429972499,8.5131505429125,0.380452596352601,22.3763765171485,6.68621436042868e-111,2.01799015451108e-108,"ENSG00000118473","55"
"ENSG000002048433",632.589236171014,-7.26389625441915,0.324889394938785,-22.3580589812351,1.00802278550422e-110,2.99164362357895e-108,"ENSG00000204843","55"
"ENSG000002266883",834.707174306388,5.51268820806153,0.246743362613161,22.3417892569788,1.45113055412554e-110,4.2361117667727e-108,"ENSG00000226688","55"
"ENSG000001856243",1646.53406852309,-7.34946453390837,0.329054842537693,-22.335074838069,1.68646044252644e-110,4.84367759678521e-108,"ENSG00000185624","55"
"ENSG000001686153",2228.20125279677,-8.09282977334247,0.3625938585871,-22.3192687401749,2.40185775327471e-110,6.7888700019941e-108,"ENSG00000168615","55"
"ENSG000001386393",1041.75157610321,9.2101887304916,0.415653895258434,22.1583120850224,8.67415083970171e-109,2.41344693754013e-106,"ENSG00000138639","55"
"ENSG000000892803",1186.55779877018,-4.66488019299057,0.210555510918524,-22.1551085157571,9.31356551611741e-109,2.5514870945462e-106,"ENSG00000089280","55"
"ENSG000001440283",811.424703735141,-6.33535143248517,0.286512141738706,-22.1119823894336,2.42386059459022e-108,6.53964933452547e-106,"ENSG00000144028","55"
"ENSG000001652803",1068.87007697758,-6.20607326964492,0.281076348439691,-22.079670894033,4.95683366067012e-108,1.317408014859e-105,"ENSG00000165280","55"
"ENSG000002483093",838.225614596819,8.4913756904307,0.38546353475652,22.0289986594823,1.51894004329278e-107,3.97761255160508e-105,"ENSG00000248309","55"
"ENSG000000852243",949.760293075038,-2.40910154415214,0.109829959752068,-21.9348304378012,1.20887697903767e-106,3.11977860372809e-104,"ENSG00000085224","55"
"ENSG000001244223",926.043826844689,-5.38982097561674,0.245941636727259,-21.9150406874533,1.8672741811371e-106,4.75007876335834e-104,"ENSG00000124422","55"
"ENSG000001348711",2576.42579781891,-9.24595990639441,0.424395806761516,-21.7861716800375,3.13815122723821e-105,7.87057167653954e-103,"ENSG00000134871","55"
"ENSG000001640892",1127.25377903797,10.3235252628497,0.475322141928817,21.719007704875,1.35677948381841e-104,3.35557948171589e-102,"ENSG00000164089","55"
"ENSG000000354033",1680.5077787747,-6.14619935455256,0.2830743799603,-21.7123123449552,1.56959095963524e-104,3.82872687920886e-102,"ENSG00000035403","55"
"ENSG000001372613",496.950200598312,6.35612748364101,0.293420633351166,21.6621694631611,4.66728798085995e-104,1.12311347398883e-101,"ENSG00000137261","55"
"ENSG000001274833",838.262127318352,-3.3041712475535,0.152944389235659,-21.6037427987136,1.6563625195903e-103,3.93264631817927e-101,"ENSG00000127483","55"
"ENSG000000672253",4905.48811453826,-6.58516498673865,0.305121485719209,-21.5821084222129,2.6452645906386e-103,6.19792454809232e-101,"ENSG00000067225","55"
"ENSG000001859422",5007.83896652196,6.15623356837281,0.286761600453161,21.4681239002862,3.09252804218466e-102,7.15177231781588e-100,"ENSG00000185942","55"
"ENSG000001293513",967.124673631453,-5.86858660485088,0.27355453182449,-21.4530776211601,4.27416679648006e-102,9.75770360832313e-100,"ENSG00000129351","55"
"ENSG000001154613",3367.76272826855,-10.4635730718811,0.488245967334462,-21.4309462277918,6.87683482548193e-102,1.55007338908046e-99,"ENSG00000115461","55"
"ENSG000000748003",2527.94846584573,-5.32350841497316,0.248981538362725,-21.3811371316121,2.00191818289765e-101,4.4560196353573e-99,"ENSG00000074800","55"
"ENSG000002480793",585.532292403484,8.51478724292039,0.398285381284054,21.3786085129941,2.11337271806034e-101,4.64602814697537e-99,"ENSG00000248079","55"
"ENSG000001038553",467.073248007608,-7.14203102948595,0.335019041338274,-21.3182838830779,7.68242830653797e-101,1.66830488846978e-98,"ENSG00000103855","55"
"ENSG000001174613",576.023208927345,-10.7190256958556,0.503923449893548,-21.2711388964335,2.10116876711393e-100,4.50789304048165e-98,"ENSG00000117461","55"
"ENSG000001840093",12291.9400742023,-7.70502529022812,0.362297589586,-21.26711717578,2.28924140281274e-100,4.85291924522457e-98,"ENSG00000184009","55"
"ENSG000002471993",411.463282677341,7.20212272063655,0.338770452193654,21.2595953218481,2.68723438970054e-100,5.62959797381148e-98,"ENSG00000247199","55"
"ENSG000002547723",3207.00802192177,-8.55402459771015,0.402374238344311,-21.2588773896367,2.72865515321656e-100,5.64990259457294e-98,"ENSG00000254772","55"
"ENSG000001104922",1779.66333386708,-10.5221473081582,0.495348993370873,-21.2418869301712,3.91830303510524e-100,8.01991059150792e-98,"ENSG00000110492","55"
"ENSG000001116423",1143.76338706714,-5.33171017785061,0.251550122191819,-21.1954187554913,1.05258177739031e-99,2.12992314886242e-97,"ENSG00000111642","55"
"ENSG000001137123",1250.11470495071,-2.72544589239908,0.128894549777614,-21.1447721963526,3.08274452509144e-99,6.16791368070823e-97,"ENSG00000113712","55"
"ENSG000001361933",1037.49532757407,-5.09916509896465,0.241248098665459,-21.1366022247318,3.66535004579596e-99,7.25209869616541e-97,"ENSG00000136193","55"
"ENSG000001179843",636.173394094169,-9.82180472091575,0.465447038399037,-21.1018739203908,7.64457517216626e-99,1.49590055044796e-96,"ENSG00000117984","55"
"ENSG000001828712",1769.14508856863,-9.02427803897306,0.428273047392814,-21.0713190893284,1.4581246748305e-98,2.82226370485942e-96,"ENSG00000182871","55"
"ENSG000001679863",770.883053921018,-5.35764855867863,0.254937128392158,-21.0155680048189,4.72554756954656e-98,9.04815328719523e-96,"ENSG00000167986","55"
"ENSG000002791703",368.026900123512,6.0239285219113,0.287408763715006,20.9594462049342,1.5386679516593e-97,2.91479363991458e-95,"ENSG00000279170","55"
"ENSG000001355063",774.162988307334,-6.27176499413089,0.299593123033985,-20.9342755621912,2.61002357663356e-97,4.89228313990672e-95,"ENSG00000135506","55"
"ENSG000001285673",577.029436369006,-10.2750473598398,0.49105132297928,-20.9245895062447,3.19805756819692e-97,5.9320636580086e-95,"ENSG00000128567","55"
"ENSG000001679782",1922.00157377176,-4.96215853829806,0.237231825524538,-20.9169175650288,3.75621373382846e-97,6.89555649054469e-95,"ENSG00000167978","55"
"ENSG000001683853",1882.59778731505,-4.93374828274496,0.236447689660719,-20.8661302202802,1.08792410215887e-96,1.97680249868805e-94,"ENSG00000168385","55"
"ENSG000001433843",619.833257411809,-5.9589329254049,0.28579813357576,-20.8501463982629,1.51956936989684e-96,2.73322947169222e-94,"ENSG00000143384","55"
"ENSG000001053733",464.221618274242,-7.89324434722638,0.379277023889358,-20.8112905608777,3.42013084813025e-96,6.09022700126554e-94,"ENSG00000105373","55"
"ENSG000001056553",412.990734256523,-8.35293537315549,0.402074623570911,-20.7745897987077,7.34891401655736e-96,1.2956644741865e-93,"ENSG00000105655","55"
"ENSG000001421923",3510.73356461418,-6.30656252279977,0.303765840940134,-20.7612630283952,9.69839776094512e-96,1.69313106793284e-93,"ENSG00000142192","55"
"ENSG000001818043",829.892429177738,6.52205857874011,0.314186624409324,20.758549448124,1.02617611541043e-95,1.77408913467121e-93,"ENSG00000181804","55"
